id|title|starring|writer|editor|
11685|The Spirit of '76|David Bruce Cassidy Olivia d'Abo Rob Reiner Carl Reiner Geoff Hoyle|Roman Coppola||
11686|Red Sky at Morning||Marguerite Roberts Richard Bradford||
11687||Janet Margolin Roy Richard Scheider|David Shaber Murray Teigh Bloom||
11688||Per Christian Ellefsen Sven Nordin|Ingvar Ambj?rnsen Axel Hellstenius Br?dre i blodet||
11689||Stig Egede-Nissen Vigdis R?ising Turid Haaland|Martha Sandwall-Bergstr?m||
11690|Batman Movies Batman Begins|Kate Noelle Holmes Gary Leonard Oldman Michael Caine Morgan Freeman Cillian Murphy Christian Charles Philip Bale William John Neeson|Robert Kahn David S. Goyer William Finger||
11691|X-Men film series|Patrick Hewes Stewart''People of Today'':  Debrett, London, 2007 Hugh Michael Jackman Shawn Robert Ashmore Anna Helene Paquin James Paul Marsden Ian McKellen Famke Beumer Janssen Rebecca Alie Romijn Halle Maria Berry|Zak Penn Dan Harris Michael Dougherty David Bryan Hayter Simon Kinberg||
11692||Amy Birnbaum Veronica Taylor Michael B. Pollock Ikue Otani Rachael Lillis Eric Stuart Maddie Blaustein|Hideki Sonoda||
11693||Hanne Karen Blarke Bayer Jean-Paul Belmondo|Jean-Luc Godard||
11694|Rebound|Wendy Raquel Robinson Martin Lawrence Breckin Meyer|Jon Lucas, Scott Moore||
11695||Barbara Nichols Jo Van Fleet William Clark Gable Eleanor Jean Parker|||
11696|Real Genius|Michelle Meyrink Val Edward Kilmer Robert Prescott (actor) Deborah Foreman Ed Lauter Jonathan Francis Gries Gabriel Jarret William Atherton|Peter Torokvei Pat Proft Neal Israel||
11697||Kene Holliday Thomas Adams (actor) Hamilton Camp Peter Frechette Myles Berkowitz Jeffrey Michael Tambor Timothy Francis Robbins Judith Baldwin Jonathan Niven Cryer Scott Getlin Demetria Gene Guynes Jennifer E. Chan George Robert Wendt Elizabeth Guttman Ann Wedgeworth|Craig Bolotin||
11698||Andile Kosi|||
11699|Three Dollars|Frances O'Connor Sarah Wynter David Wenham|Elliot Perlman||
11700|Protu00E9gu00E9|Anita Yuen u53E4u5929u6A02 Zhang Jingchu Daniel Wu u5289u798Fu69AE)|Derek Yee||
11701|Tape|Ethan Green Hawke Robert Lawrence Leonard Uma Karuna Thurman|Stephen Belber||
11702|Arsenic and Old Lace|Archibald Alec Leach Raymond Hart Massey Josephine Sherwood Jean Adair|Joseph Kesselring Julius J. Epstein Philip G. Epstein||
11703||Bhanupriya Venkatesh|K. Viswanath||
11704|Fu shih kuang ying|Freddy Lim Tsai-Yi Huang How-Jie Ho Jun-Ning ??? Hong-Shiang Lin Yuki Shu|Yu-shan Huang||
11705||Louis Feinberg Christine Cecilia McIntyre Samuel Horwitz Lu Leonard Maxine Gates Dee Green Harry Moses Horwitz Nancy Saunders Doris Houck Emil Sitka|Felix Adler Clyde Bruckman||
11706|Disappearing Acts|Sanaa McCoy Lathan Regina Hall Wesley Trent Snipes|Terry McMillan||
11707|The Fly|John Getz Virginia Elizabeth Davis Jeffrey Lynn Goldblum|Charles Edward Pogue George Langelaan||
11708|Punishment Park|Jim Bohan Paul Alelyanes Harold Beaulieu Stan Armsted Carmen Argenziano|Peter Watkins||
11709|Something Of Value|Roy Harold Scherer, Jr. Wendy Margaret Hiller Dagmar Winter Sidney Poitier|Robert C. Ruark Ruben Sax||
11710||John Arthur Lithgow Esteban Ernesto Echevarria Lolita Davidovich Gregg Henry Tom Bower (actor) Frances Sternhagen Mel Harris|Brian Russell DePalma||
11711|Naked Weapon|Daniel Wu Margaret Denise Quigley Anya Wu Jewel Lee (actress)|Wong Jing||
11712|Equilibrium|Shaun Mark Bean Scott Diggs David Hemmings Christian Charles Philip Bale Angus Macfadyen Emily Anita Watson Sean Pertwee William Edward Fichtner|Kurt Wimmer||
11713|American Girl|Alicia Roanne Witt Jena Malone Erik Thomas von Detten Brad Barron Renfro|Scott Sandoe||
11714||Mabel Normand|||
11715|Just Rambling Along|Arthur Stanley Jefferson|||
11716|Best Defense|Dudley Stuart John Moore David Rasche Peter Michael Goetz Tom Noonan Eddie Murphy George Dzundza Helen Shaver Mark Arnott Kathleen Sue Nail|Willard Huyck Easy and Hard Ways Out Robert Grossbach Gloria Katz||
11717||Dorothy Gibson|||
11718||James LeGros Maura Lynn Tierney Ronald Walken|Billy Morrissette||
11719|Kings of the Road|R?diger Vogler Hanns Zischler|Wim Wenders||
11720|Under the Sun|Helena Bergstr?m Rolf Lassg?rd Johan Widerberg|Johanna Hald H. E. Bates||
11721|I Want Candy|Tom Riley Tom Burke %28actor%29 Jimmy Carr Michelle Claire RyanBirths, Marriages & Deaths Index of England & Wales, 1984-2004.Volume 12, Page 728 Paul Mackenzie Crook Tara Leigh Patrick Eddie Marsan|Jonathan Stern Jamie Minoprio Phil Hughes (writer) Pete Hewitt||
11722|Look Pleasant, Please|Harold Lloyd|H.M. Walker||
11723|Fast Company|Claudia Jennings William Smith (actor) Carmine Orrico Nicholas Campbell|Phil Savath David Paul Cronenberg||
11724|||Robert Tasker John Bright|William Holmes|
11725||Tom Riley Erik Palladino Steven Pacey Andrew Lee Potts Jeffrey Alan Combs Cerina Vincent Amanda Righetti|William Massa||
11726||The Knife|||
11727|Calendar|Arsin?e Khanjian|Atom Egoyan||
11728||Cecilia Roth Ana Bel?n|?ngeles Gonz?lez Sinde Alberto Mac?as||
11729||J. Marvin Campbell Walter Stacy Keach Jr. Dan O'Connor Nicole Elizabeth Eggert Raymond D. Turner Alex Meneses Michael Dorn David Millbern John Diehl|Robert Silverberg Jon Kroll||
11730|Some Came Running|Dean Martin Shirley MacLean Beaty Frank Sinatra|James Jones (author) John Patrick Arthur Sheekman||
11731|The Rains of Ranchipur|Joan Caulfield Fredrick Martin MacMurray Eric Alexander Rennie Richard Walter Jenkins Jr. Julia Jean Mildred Frances Turner|Louis Bromfield Merle Miller||
11732||Steve Brodie (actor) Raymond William Stacey Burr Audrey Long|Harry Essex||
11733|The Texas Chainsaw Massacre 2|Bill Johnson (actor) Bill Moseley Caroline Williams (actor) Jim Siedow Dennis Lee Hopper|L.M. Kit Carson||
11734|Closet Space|Melanie Donihoo Jovan Jackson James LaMarr Morgan McCarthy Evan Scott Peyton Wetzel Tim Wrobel|Jason Stewart||
11735||Pran Jeetendra Bhanurekha Ganesan|||
11736||Ginka Stancheva Apostol Karamitev|Lyuben Popov   Vladimir Yanchev||
11737|The Holy Girl La niu00F1a santa|Mercedes Mor?n|Lucrecia Martel||
11738|Berlin International Film Festival|Lionel Stander Donald Henry Pleasence Fran?oise Dorl?ac|Gerard Brach Roman Pola?ski||
11739||Irma Dawkins William Davis Garwood Jr.|Paul West Norbert Lusk||
11740|Like Minds|Eddie Redmayne Antonia Collette Richard Roxburgh Kate Elizabeth Cameron Maberly Thomas Sidney Jerome Sturridge|Gregory J. Read||
11741|Den of Lions|Laura Fraser Ian Hart Robert William Hoskins Zita G?r?g Stephen Dorff Jr.|James Bruce   Freddy Deane||
11742||Paul Muller Helga Lin? Barbara Steele|Mario Caiano Fabio De Agostini||
11743||Ermes Effron Borgnino Jim Brown Charles Dennis Buchinsky Lee Marvin|Lukas Heller Nunnally Hunter Johnson E.M. Nathanson||
11744|Sparkle|Dorian Harewood Tony King Irene Cara Philip Michael Thomas Lonette McKee Mary Alice Smith Dwan Smith|Howard Rosenman Joel Schumacher||
11745||Mircea Mchroe Desmond Askew Stephen Martines Valerie Cruz|Dave Payne||
11746|Yellow Hair|Lee Jae-eun Kim Ki-yeon Kim Hyeon-cheol|Kim Yu-min Son Jeong-seob||
11747||Al Chalk Mark Elliot (Disney) Nicholas Tate Hal Douglas John Leader Don LaFontaine Clinton Hendricks|||
11748|Just the Ticket|Rosalie Anderson MacDowell Andy Garcia|Richard Wenk||
11749||Harold Gordon Berry Kroeger Bill Mason Lin McCarthy Stephen Courtleigh|||
11750||Louis Feinberg Eugene Oliver Edgar Stutenroth Harriette Tarler Milton Frome Greta Thyssen Harry Moses Horwitz Joe Besser Helen Dickson Emil Sitka|||
11751||Dagmar Winter Robert John Wagner|Anton Myrer||
11752|Berlin International Film Festival|Edward James Begley E.G. Marshall John Donald Fiedler Henry Jaynes Fonda Robert Webber George Voskovec Ed Binns Jacob Joachim Klugman Leo Jacoby Joseph Sweeney John H. Lebzelter Martin Henry Balsam|Reginald Rose||
11753|Title|Michael J. Smith Sr. Jim Myron Ross Tarra Riggs Johnny McPhail|Lance Hammer||
11754|Vengeance is Mine|Ken Ogata Mitsuko Baisho Rentaro Mikuni Mayumi Ogawa|Masaru Baba Ryuzo Saki||
11755|Academy Award for Documentary Feature|Al Gore|||
11756|Why Girls Say No|Oliver Hardy|Arthur Stanley Jefferson H. M. Walker||
11757|Your Studio and You|Sylvester Gardenzio Stallone Steven Allan Spielberg Demetria Gene Guynes|Matthew Richard Stone Randolph Severn Parker III||
11758|Broadway Melody of 1940|Frederick Austerlitz Jr. George Murphy Eleanor Torrey Powell Francis Phillip Wuppermann|||
11759||Ramon Tikaram Kelli Hollis|Penny Woolcock||
11760|Easter Parade|Frederick Austerlitz Jr. Frances Ethel Gumm Peter Sydney Lawford Johnnie Lucille Ann Collier|Frances Goodrich Albert Hackett Sidney Sheldon||
11761|Meet the Fockers|Barbara Joan Streisand Benjamin Edward Stiller Robert Mario De Niro, Jr. Teri Polo Dustin Lee Hoffman Blythe Katharine Danner|Marc Hyman Greg Glienna Mary Ruth Clarke James Herzfeld John Hamburg||
11762|Nathalie...|G?ard Depardieu Emmanuelle Bu00E9hart-Hasson Fanny Marguerite Judith Ardant|Philippe Blasband Jacques Fieschi Fran?ois-Olivier Rousseau||
11763|Let's Do It Again|Bill Cosby Sidney Poitier|Richard Wesley Timothy March||
11764||Dolphy Eric Quizon Jeffrey Quizon  Efren Guinto Jr.  Mr. Baes[PE,UPH]  Mr. Arevalo[BUSINESS,UPH]|Clodualdo Del Mundo Jr.||
11765|Llanto por un bandido|Luis Bu?uel Francisco Rabal Lino Ventura Lea Massari|Mario Camus||
11766||Suhasini Rajaram Naidu P. V. Jagadish Kumar Mammooty Atul Kulkarni Mamta Mohandas Deepak Jedi Jai Akash Arjun (actor) Rajan P. Dev Kalabhavan Mani|Karthik||
11767||Faten Ahmed Hamama Abdallah Gheith Zaki Rostom|Youssef Idriss Saad al-Din Wahbah||
11768||Martha Scott William Gargan Edmund Kellaway|Stephen Vincent Benet Sheridan Gibney Bess Streeter Aldrich Adelaide Heilbron||
11769||Tom Davis (comedian) Betty Thomas Nienhauser Al Franken Phil Proctor Laraine Newman Ron Silver Cornelius Crane Chase John Franklin Candy Joe Flaherty Howard Hesseman|Michael Mislove Neal Israel||
11770|Harvard Man|Joey Lauren Adams Sarah Michelle Gellar Adrian Grenier|James Toback||
11771|||Jos? ?ngel Esteban Carlos Lopez||
11772||Doyle Bramhall II Branford Marsalis Billy Preston Erykah Badu Eric Clapton Dave Matthews Elvis Costello Forest Steven Whitaker|||
11773|||M. dot Strange||
11774|Yellow|D.B. Sweeney William Henry Duke, Jr.|Nacoma Whobrey Roselyn Sanchez||
11775|Amateur|Isabelle Huppert Martin Donovan Elina L?wensohn|Hal Hartley||
11776|Juice|Khalil Kain Tupac Shakur Omar Hashim Epps Samuel Leroy Jackson Cindy Herron Jermaine 'Huggy' Hopkins|Gerard Brown Ernest R. Dickerson||
11777|Frankenstein Must Be Destroyed|Veronica Carlson Simon Ward Freddie Jones Peter Wilton Cushing|Bert Batt||
11778|A Chef in Love|Pierre-Richard Maurice Charles Lu00E9opold Defays Micheline Presle|Irakli Kvirikadze Andru00E9 Graill||
11779|The Sheepman|Leslie William Nielsen Gwyllyn Samuel Newton Ford Shirley MacLean Beaty|William Bowers James Edward Grant||
11780|Luke's Lost Lamb|Harold Lloyd|||
11781|Kikujiro||Takeshi Kitano||
11782|Joan of Arc|Josu00E9 Vicente Ferrer de Otero y Cintru00F3n Francis Loftus Sullivan Ingrid Bergman Joseph Patrick Carrol Naish|Maxwell Anderson Andrew Solt||
11783|Carry On Emmannuelle|Howard Nelson (actor) Jack Roberton Peter Butterworth Kenneth Charles Williams Suzanne Danielle Irene Joan Marian Sims Kenneth Connor|||
11784|Die Hard 2|Reginald Vel Johnson Bonnie Bedelia Culkin John Amos William Thomas Sadler Walter Bruce Willis William Atherton Francesco Sparanero|Steven E. de Souza Walter Wager Doug Richardson||
11785||Anthony LaPaglia Eric Anthony Roberts Richard Stephen Dreyfuss|David Mamet Uri Dan Dennis Eisenberg Eli Landau||
11786|Hey, Hey, It's Esther Blueburger|Danielle Catanzariti Keisha Castle-Hughes Antonia Collette Jonny Pasvolsky|Cathy Randall||
11787|The Tingler|Vincent Leonard Price, Jr. Darryl Gerard Hickman Patricia Cutts Philip Coolidge|Robb White||
11788|Cafu00E9 Lumiu00E8re|Tadanobu Asano Nenji Kobayashi Yo Hitoto Kimiko Yo Masato Hagiwara|Hou Hsiao-Hsien T'ien-wen Chu||
11789||Goundamani Srividya Senthil Devayani Prabhu|||
11790|Moonlight Whispers||||
11791||Gabriel Carpenter Alison Elizabeth Larter Melissa Joan Hart Lee Frederick Holmes Mark Webber (actor) Adrian Grenier|Rob Thomas (writer) Todd Strasser||
11792|BAFTA Award for Best Film Touching the Void|Brendan Mackey Nicholas Aaron Ollie Ryall|||
11793|A Is for Atom||True Boardman||
11794|Love Message|Leo Ku Kui-Kei Angela Chang|Ah Gan||
11795|Changing Lanes|Benjamin Gu00E9za Affleck Antonia Collette Amanda Peet William Hurt Sydney Pollack Samuel Leroy Jackson|Michael Tolkin||
11796||Deven Verma Harihar Jariwala Moushumi Chatterjee|Gulzar||
11797|Dialing for Dingbats|John Caponera Marta Dargham Michael Jeffries Johnny Mask Lyn Segerblom|||
11798|The Boy Who Cried Bitch|Harley Cross Jesse Bradford Watrouse J.D. Daniels Jason Matthew Biggs Adrien Brody Moira Kelly Karen Young|Catherine May Levin||
11799||Rajnikanth|||
11800||Sergio Corrieri	   Salvador Wood|Yevgeny Yevtushenko||
11801||Sanghavi Vijayakumar Joseph Vijay Chandrasekhar|||
11802|Conspiracy|Kenneth Charles Branagh David Threlfall Stanley Tucci, Jr. ?Dave Colin Firth|Loring Mandel||
11803||Ond?ej Vetch? Miloslav Mar??lek Jan Hrab?ta Ivana Velichov? Ji?ina T?ebick? Jana Markov? Zdena Sajfertov? Jaroslav Mare? Ji?? Schmitzer|Rudolf R??||
11804|The Satanic Rites of Dracula|Christopher Frank Carandini Lee Peter Wilton Cushing|Don Houghton||
11805||Arjun (actor) Mallika Kapoor|A. Venkatesh||
11806||Neve Adrianne Campbell Jeremy John Irons Mary Elizabeth Spacek|Frances Kroll Ring||
11807|Luke's Speedy Club Life|Harold Lloyd|||
11808||Courtnee Alyssa Draper Chez Starbuck|Jenny Arata Robert L. Baird Kelly Senecal||
11809||Harry H. Corbett Dora Mary Broadbent Bernard Cribbins Michael James Bentin|||
11810||Janakaraj Manivannan Sujatha Rajnikant Amala|||
11811||Charles Napier Angela Lindvall Danny Woodburn Tava Smiley Electra Avellan Patrick Renna Sophie Monk Desariee Starr Compton|||
11812||John Arthur Lithgow John Joseph Nicholson Shirley MacLean Beaty Daniel Michael DeVito Jr. Mary Debra Winger Jeffrey Warren Daniels|Larry Jeff McMurtry James L. Brooks||
11813|Down to Earth|Chris Rock Eugene Levy Wanda Sykes-Hall Calogero Lorenzo Palminteri Frankie Faison Jennifer Coolidge Regina King|Chris Rock Lance Crouther Ali LeRoi Heaven Can Wait (1978 film) Henry Warren Beaty Louis C.K. Elaine Berlin||
11814|Word Wars|Matt Graham (scrabbler) Joel Sherman Joe Edley Marlon Hill|||
11815|Rocky|Jerry De Louise Anthony Burton Sylvester Gardenzio Stallone Oliver Burgess Meredith Talia Rose Coppola Carl Weathers|Sylvester Gardenzio Stallone||
11816|The Boys in the Band|Laurence George Luckinbill Leonard Frey Kenneth Nelson Cliff Gorman|Mart Crowley||
11817||Dr. Pop, Boban, Kebra, Robert, Ilija...etc.|Jovan u0110eriu0107/ Minja Dunu0111erski||
11818|The Slave|Oliver Hardy Billy West (silent film actor)|Rex Taylor||
11819||Feroze Khan Saira Banu Dharmendra|||
11820||Kevin McKidd Emilia Rose Elizabeth Fox Clu00E9mence Guichard Robert Carlyle Tim McInnerny|Jimmy McGovern||
11821|Bus Stop|Betty Field Arthur O'Connell Don Murray (actor) Norma Jeane Mortenson|William Inge George Axelrod||
11822||Ghulam Mohiuddin Babra Sharif Sheri Malik|||
11823|The Signal|Alfred C. Bowen, Jr.|David Bruckner Dan Bush Jacob Gentry||
11824||Linda Denise Blair|Allan Murray||
11825|Splendor in the Grass|Audrey Christie Henry Warren Beaty Natalia Nikolaevna Zakharenko Zohra Lampert Barbara Loden Pat Hingle|William Inge||
11826|Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack|Chiharu Niiyama Ry?d? Uzaki Masahiro Kobayashi|Kei'ichi Hasegawa Masahiro Yokotani Sh?suke Kaneko||
11827|Earthquake|Lorne Greene Lloyd Nolan Marjoe Gortner Richard Roundtree Ava Lavinia Gardner Genevi?ve Bujold Victoria Principal John Charles Carter George Kennedy (actor) Barry Sullivan (actor)|Mario Puzo||
11828|By Dawn's Early Light|Elmore Rual Torn William Lyle Richardson Rebecca J. Pearch Martin Landau Todd Jones Powers Boothe Jeffrey DeMunn Ken Jenkins|William Prochnau||
11829|Another Wild Idea|Betty Mack Charley Chase|||
11830|Dr. Goldfoot and the Girl Bombs|Franco Franchi Ciccio Ingrassia Laura Antonaz Vincent Leonard Price, Jr. Fabian|Pipolo Robert Kaufman||
11831||Ethel Waters Betty Compson Joseph Evans Brown Louise Fazenda Arthur Lake|Robert Lord Humphrey Pearson||
11832||Frederick Austerlitz Jr. Randolph Scott Irene Marie Dunn Virginia Katherine McMath|Jerome Kern Alice Duer Miller Otto Harbach||
11833||Raymond Wong Bak-Ming u5F35u767Cu5B97 (Cheung Fat Chung)|||
11834|36 Quai des Orfu00E8vres|Gu00E9rard Xavier Marcel Depardieu Daniel Auteuil|Julien Rappeneau Franck Mancuso Olivier Marchal||
11835||Patrick Hewes Stewart''People of Today'':  Debrett, London, 2007 Kimberly Williams Hector Elizondo|Sean McLain John Schalter Eric Steven Stahl||
11836|The Baby Maker|Collin Wilcox Paxton Sam Groom Barbara Lynn Herzstein|James Bridges||
11837||Hristo Shopov Georgi Staykov|Vlado Daverov||
11838|My Life Without Me|Amanda Michael Plummer Sarah Polley Scott Speedman|Nanci Kincaid Isabel Coixet||
11839|I Even Met Happy Gypsies Grand Prix (Cannes Film Festival)|Bata ?ivojinovi? Bekim Fehmiu Gordana Jovanovi? Olivera Vu?o Mija Aleksi?|Aleksandar Petrovi?||
11840|Crawlspace|Nikolaus Karl Gu00FCnther Nakszyu0144ski|David Schmoeller||
11841||Ice-T Richmond Arquette Luke Perry|Kurt Voss||
11842|Gozu|u54C0u5DDD u7FD4|Sakichi Satu00F4||
11843|Merlin|Isabella Fiorella Elettra Giovanna Rossellini Helena Bonham Carter Nigel John Dermot Neill Lena Headey Miranda Jane Richardson Martin Hayter Short Arthur John Gielgud Rutger Oelsen Hauer|Peter Barnes Edward Khmara David Stevens||
11844||Dharam Pishorimal Anand Waheeda Rehman|||
11845|Baghban|Mahima Chaudhry Salman Khan Aman Verma Samir Soni Hema Malini Amitabh Bachchan Rimi Sen|||
11846|The Prize Baby|Oliver Hardy|Edwin R. Coffin||
11847|Girls Demand Excitement|Marion Robert Morrison Marguerite Churchill Virginia Cherrill|Harlan Thompson||
11848|Serial (film) Mascot Pictures|Barrie O'Daniels Frank Johnson Henry DeWitt Carey II Noah Beery Greta Granstedt|George Morgan Barney A. Sarecky George H. Plympton Wyndham Gittens||
11849||Bob Goldthwait Dabney Coleman John Franklin Candy|Hugo Gilbert Charlie Peters Stephen Neigher Andy Breckman||
11850|Ben|Arthur O'Connell Lee Montgomery Joseph Campanella|Gilbert Ralston||
11851|These Three|Estelle Merle O'Brien Thompson Walter Andrew Brennan Bonita Granville Joel Albert McCrea Ellen Miriam Hopkins|Lillian Hellman||
11852|Multiple Maniacs|Edith Massey Nancy Stoll Mary Vivian Pearce David Lochary Harris Glenn Milstead Cookie Mueller|John Waters||
11853||J. W. King|||
11854|Mayerling|Ava Lavinia Gardner Catherine Fabienne Dorlu00E9ac James Neville Mason Michel Demitri Chalhoub|Denis Cannan Michel Arnold Claude Anet Terence Young Joseph Kessel||
11855||Pran Kamini Kaushal|||
11856|Kissed|Peter Outerbridge Molly Parker|Barbara Gowdy Angus Fraser (Canadian television producer)||
11857|Garbo Talks|Solomon Krakovsky Carrie Frances Fisher Ron Silver Anna Maria Louisa Italiano Catherine Hicks|Larry Grusin||
11858|Tapeheads|Timothy Francis Robbins Mary Crosby John Paul Cusack|Peter McCarthy Bill Fishman||
11859|||Jerry Grimes||
11860|Redacted|Daniel Steward Sherman Kel O'Neill|Brian Russell DePalma||
11861|batteries not included|Elizabeth Pe?a Michael Carmine Hume Blake Cronyn Frank McRae Dennis Boutsikaris Jessica Tandy|S.S. Wilson Brent Maddock Mick Garris Brad Bird Matthew Robbins (film director)||
11862|Alice Neel|Chuck Close Michel Auder Marlene Dumas Phil Bonosky Robert Storr Linda Nochlin Alice Neel|Andrew Neel||
